Month,Sales
01 January 2025,266
01 February 2025,145.9
01 March 2025,183.1
01 April 2025,119.3
01 May 2025,180.3
01 June 2025,168.5
01 July 2025,231.8
01 August 2025,224.5
01 September 2025,192.8
01 October 2025,122.9
01 November 2025,336.5
01 December 2025,185.9
02 January 2026,194.3
02 February 2026,149.5
02 March 2026,210.1
02 April 2026,273.3
02 May 2026,191.4
02 June 2026,287
02 July 2026,226
02 August 2026,303.6
02 September 2026,289.9
02 October 2026,421.6
02 November 2026,264.5
02 December 2026,342.3
03 January 2027,339.7
03 February 2027,440.4
03 March 2027,315.9
03 April 2027,439.3
03 May 2027,401.3
03 June 2027,437.4
03 July 2027,575.5
03 August 2027,407.6
03 September 2027,682
03 October 2027,475.3
03 November 2027,581.3
03 December 2027,646.9
